ImageID	ClassID
qxhzidlwty	castell_cartoixa
rwiadrxaho	castell_cartoixa
qcfmdqiomk	castell_cartoixa
gxajdleuce	castell_cartoixa
zpkmfwmvjl	castell_cartoixa
lpyoapvino	castell_cartoixa
hyauofjmqm	castell_cartoixa
mmqyhnkksu	castell_cartoixa
kiidirgsoe	castell_cartoixa
cyroctcrug	castell_cartoixa
jcohlyacto	castell_cartoixa
ytdrbtkzck	castell_cartoixa
pnhwmdqalp	castell_cartoixa
lklyafuynp	castell_cartoixa
aujmbynvje	castell_cartoixa
qqmtkewxrt	castell_cartoixa
lvsxvczygl	castell_cartoixa
wvfhhcnhnw	castell_cartoixa
pelcerrqzj	castell_cartoixa
uiskihnzxz	castell_cartoixa
optshplcug	castell_cartoixa
acelgpvmcb	castell_cartoixa
fzdpgxdbcg	castell_cartoixa
oymhrsdzyd	castell_cartoixa
zbodmedavf	castell_cartoixa
jnavdmhpzi	castell_cartoixa
dkebobmnzi	castell_cartoixa
gmosdhfkkj	castell_cartoixa
wzekrftzls	castell_cartoixa
hcpciahwpu	castell_cartoixa
rfsxefhwgy	castell_cartoixa
ggfcnfwvwf	castell_cartoixa
aggunlfpay	castell_cartoixa
zrmwfnedsr	castell_cartoixa
bskapdmioe	castell_cartoixa
ymwwusykwj	castell_cartoixa
ncbwtrgwme	castell_cartoixa
znzgvxpxvm	castell_cartoixa
ltlgornaog	castell_cartoixa
abhhftuwpn	castell_cartoixa
hoizhnecwl	castell_cartoixa
uqsiuzbzit	castell_cartoixa
hovnwwrkev	castell_cartoixa
zalwmgpduw	castell_cartoixa
dcuateesid	castell_cartoixa
eqeztnsyyk	castell_cartoixa
xtstqmvigs	castell_cartoixa
jfuyhzsveh	castell_cartoixa
ghjggjgkws	castell_cartoixa
lyihwwkuge	castell_cartoixa
ikwslucsor	castell_cartoixa
rtlmdoelsp	castell_cartoixa
zevlzjeays	castell_cartoixa
ccjxcimtim	castell_cartoixa
tnzlajslmb	castell_cartoixa
ixsyirdseh	castell_cartoixa
sqmolbkkpt	castell_cartoixa
nvfdcjtiiu	castell_cartoixa
pbuzphevhp	castell_cartoixa
fdtakdbhkt	castell_cartoixa
eolbjtiiim	castell_cartoixa
kweaanjnzf	castell_cartoixa
clsauapxqm	castell_cartoixa
apduaikndm	castell_cartoixa
cgnlduvohg	castell_cartoixa
xubdrbrnyu	castell_cartoixa
xhcsqgeojw	castell_cartoixa
kuqeqfxjul	castell_cartoixa
tctijtjnvz	castell_cartoixa
tuqqrlnhrr	castell_cartoixa
rikkspkkbc	castell_cartoixa
lxkioiqgis	castell_cartoixa
vytoqirejd	castell_cartoixa
dupsxpmyzc	castell_cartoixa
apanefndfs	castell_cartoixa
faclfdynri	desconegut
xckvthfwqv	desconegut
szyavgivdj	desconegut
zmbbizegdz	desconegut
zihahphyls	desconegut
lfcnkrptem	desconegut
bhyvouqelf	desconegut
cymwjtrjip	desconegut
mhbnmhrzra	desconegut
rtcchjwmae	desconegut
idcyciywlx	desconegut
evppzxmwew	desconegut
prewpfyths	desconegut
yyyrralxws	desconegut
mddfqxbqtn	desconegut
lavdnfsaxp	desconegut
uuvgmnbadg	desconegut
ciedunwahs	desconegut
pounqntuel	desconegut
ygshaakswc	desconegut
aohqnohllo	desconegut
vqwhqigybm	desconegut
innpiopgmc	desconegut
liplszfxjv	desconegut
qlidbyxqlw	desconegut
qshhwnljrf	desconegut
yujgrqyxwd	desconegut
iklbvliatm	desconegut
kioiconrcf	desconegut
nnswlqrqam	desconegut
plscuhedvz	desconegut
iisnmkndmp	desconegut
ufplxoooby	desconegut
jpyzjandge	desconegut
xxglgeknai	desconegut
yjqvnljuot	desconegut
bjaltdomcu	desconegut
axrwmqofey	desconegut
tccsjrpizk	desconegut
yydlhpysfk	desconegut
ftrkmpsftp	desconegut
iyjwomlron	desconegut
vypiuworti	desconegut
kbevghlcvw	desconegut
btydnedmha	desconegut
uioeytlmka	desconegut
jdosuzywrt	desconegut
xldsdsnzty	desconegut
jobzjonsov	desconegut
cmcanomtbt	desconegut
obionzqfud	desconegut
mkcserapov	desconegut
zgwmakgddq	desconegut
slqneyqsjh	desconegut
nrezoozurl	desconegut
aywjaiumuy	desconegut
djqeenxvnv	desconegut
dtjjacmtjl	desconegut
ekzvhhyguk	desconegut
rfcbuzqgvq	desconegut
nprvzwbgjy	desconegut
blwcybhndr	desconegut
rnruvnrznw	desconegut
pefpghkprp	desconegut
ryfrkxbrtw	desconegut
klewvwmquj	desconegut
exqkjhfcug	desconegut
mvjbasmzxz	desconegut
vhrwuneelk	desconegut
pjtwsuwmbh	desconegut
lpdjukcbie	desconegut
hyapassmdz	desconegut
gspnffhnhp	desconegut
wgqywzmgpr	desconegut
axxcteqkrj	desconegut
ryobhorldg	desconegut
zexkdctyus	desconegut
hojbevtubi	desconegut
mejfyuphsv	desconegut
dffvxjidzg	desconegut
hrelaopxjl	desconegut
xzqrjpvohp	desconegut
xyrmizhuur	desconegut
spfblbmlmy	desconegut
tgatrpwtrr	desconegut
qupbuzoqtc	desconegut
ybnjxailaf	desconegut
kjmrmikely	desconegut
wkbyrnjtlj	desconegut
ikgdbvdmsz	desconegut
spxttiojbv	desconegut
tdofpcrgnz	desconegut
lpxwubqwhh	desconegut
mmkeuwpavd	desconegut
hieltnmgqt	desconegut
brkcdajypm	desconegut
grhilunezf	desconegut
uppzbaxpho	desconegut
bdqzuzcevq	desconegut
xwsiahxdam	desconegut
ykggukodxg	desconegut
afnpomythh	desconegut
yvyvgrssiy	desconegut
dsysfnjafl	desconegut
jupkdsryeo	desconegut
owhuhzcfmk	desconegut
mdrsudpput	desconegut
ozlwbxhhzh	desconegut
siuzeyxoib	desconegut
bdpsbfzjom	desconegut
yderggnuob	desconegut
dvvkefiugw	desconegut
bqblmwablf	desconegut
oyarvfxbmf	desconegut
vlnfkadwdp	desconegut
sxcakjqgrj	desconegut
cugakpnhyt	desconegut
desconegut_440	desconegut
vtrxpqctxd	desconegut
mshhhmouvk	desconegut
ccntnlamqh	desconegut
umbiwcwgjf	desconegut
jcogvsgjgx	desconegut
dcnxxffewk	desconegut
cibxjjbpuu	desconegut
oezmaddbxh	desconegut
ujpkttzuie	desconegut
lbedjuxydu	desconegut
goixpfaxcx	desconegut
oextmaikvv	desconegut
sjsaftbcsu	desconegut
evooineyik	desconegut
yuzjvrhqst	desconegut
fkhillxvlu	desconegut
wgjmexcvmo	desconegut
vsekldqlpk	desconegut
dmbhtkcqfg	desconegut
jhrkvnytws	desconegut
nvbjodqblw	desconegut
nxbiehbgyo	desconegut
dndlvfaqee	desconegut
zevxjulntg	desconegut
fkmelsgrxa	desconegut
ocqfrkrrge	desconegut
devtbhsnet	desconegut
fdqisodevw	desconegut
cjnbkdaluv	desconegut
bkflbagjoe	desconegut
cdxflncsjz	desconegut
yzagvkedns	desconegut
ovrmqaehyb	desconegut
mbnblbxzlt	desconegut
inegmcgfuj	desconegut
qtnhznomoc	desconegut
bijevhegkb	desconegut
ztqwknzffe	desconegut
qlkxebwhmw	desconegut
thuwmpiyso	desconegut
ihosjkgsdu	desconegut
taltxxwkco	desconegut
vdibkjtqsv	desconegut
wytaxtoyay	desconegut
klbfbeibsw	desconegut
cntwizmizs	desconegut
qiepcsitwh	desconegut
syuhvnexbs	desconegut
ifrukwqsll	desconegut
feudpudnwv	desconegut
tnfhiazasb	desconegut
gopzdnppdg	desconegut
bzfhtzuxct	desconegut
ubvfinvytq	desconegut
hdduxxlyhv	desconegut
mecxdxwuiq	desconegut
izwrwolqlh	desconegut
zylewafige	desconegut
qdfrsqwoxa	desconegut
hyyfsunngi	desconegut
amisnubczi	desconegut
bciacqvjcj	desconegut
jnjyczvdbh	desconegut
irhtabkvfn	desconegut
circsyfyet	desconegut
eovcquabqn	desconegut
gblmxaougl	desconegut
gnzkcuzasw	desconegut
rvajxwwqob	desconegut
yukfrdiwdj	desconegut
ixsergrdra	desconegut
sgcdddmyff	desconegut
awvlpwiueq	desconegut
xaoghofjdj	desconegut
tbugwczxty	desconegut
bifmvytmti	desconegut
failybzans	desconegut
mljwldhnub	desconegut
llxhbvvgul	desconegut
ssansseber	desconegut
skqemdsuaj	desconegut
ufjaujqzid	desconegut
cxttqsynlt	desconegut
ymgfkatosf	desconegut
bxyqmuhcll	desconegut
tykehcvbqa	desconegut
pybcpxbtcd	desconegut
kqhyhmldab	desconegut
fmxagdoyhr	desconegut
mfkkydczai	desconegut
bjwslqwiua	desconegut
mmqyxcuqvb	desconegut
jdolqtrfmo	desconegut
zrpxiclbos	desconegut
rzzxhuurpw	desconegut
klsoprqqba	desconegut
tjptonmnjb	desconegut
tjkxehftcn	desconegut
bncgtncxel	desconegut
zzssvmfstq	desconegut
yjaiyuakor	desconegut
pcdclqawwk	desconegut
zahzecxdwh	desconegut
eurtvsdptg	desconegut
pwssaagljt	desconegut
ycrxzqfaov	desconegut
qhnbzekggp	desconegut
kvxbksgknb	desconegut
tfwxbqienx	desconegut
bfxsmxdxoq	desconegut
mjxamudlzj	desconegut
zzitakmikw	desconegut
glkumpwkls	desconegut
cbwqgqqsxu	desconegut
zoodpqtbwj	desconegut
vjjdcdapkq	desconegut
yovmvapcts	desconegut
kwhqhuqmbo	desconegut
mhdbtukynw	desconegut
mjuozxfinz	desconegut
oexpxbrspm	desconegut
duqjjbbsmc	desconegut
nsyooearqv	desconegut
sxjnwednfl	desconegut
vbcetwathx	desconegut
pxlxqzwbnn	desconegut
kphqevhwcq	desconegut
xoctoiivel	desconegut
ksmokrwulx	desconegut
xhdseglyng	desconegut
ohrtwvvuix	desconegut
ryrveqirde	desconegut
ybsmfkrrdb	desconegut
fyevnidylh	desconegut
aituwhpgsp	desconegut
lbtlcjhivj	desconegut
diuhxnfqda	desconegut
rrznsuebjo	desconegut
uehapmzasn	desconegut
rhmulxnnkg	desconegut
ximinqwitv	desconegut
hlminuuvbr	desconegut
zetmqjtzji	desconegut
jvqwvdgege	desconegut
mchpogfzgm	desconegut
qnsmlgoxkm	desconegut
wdgelrodow	desconegut
htdnwlgjtg	desconegut
tfuxwvoiuw	desconegut
ecwktasdwt	desconegut
rluquannsn	desconegut
vwdlnzypyv	desconegut
jgobnhlsik	desconegut
trbvafmgfk	desconegut
bomunybmqf	desconegut
qnhmklihcs	desconegut
qiaqmgxijs	desconegut
vnpbfmnoei	desconegut
pjmrjnmhhz	desconegut
uukbgfadhr	desconegut
rlgbkhftts	desconegut
